country_iso3_code,partner_iso3_code,year,export_value,import_value
OMN,DZA,2010,50751209,664129
OMN,DZA,2011,72615088,659279
OMN,DZA,2012,32460604,530354
OMN,DZA,2013,27475922,297825
OMN,DZA,2014,36240120,22149
OMN,DZA,2015,35142219,24278
OMN,DZA,2016,35162588,26404
OMN,DZA,2017,44622152,190944
OMN,DZA,2018,9265349,44993
OMN,DZA,2019,10365894,124939
OMN,DZA,2020,85613499,370081
OMN,DZA,2021,118583596,923189
OMN,DZA,2022,180677176,25583583
OMN,DZA,2023,107316400,320395
OMN,AND,2006,39540,0
OMN,AND,2010,12071,0
OMN,AND,2011,0,16944
OMN,AND,2016,5960695,0
OMN,AGO,1995,227059,0
OMN,AGO,1996,597104,0
OMN,AGO,1997,440647,0
OMN,AGO,1998,1241547,0
OMN,AGO,1999,1467998,0
OMN,AGO,2000,1947725,0
OMN,AGO,2001,2340578,0
OMN,AGO,2002,1123980,10001
OMN,AGO,2003,87467,1632184
OMN,AGO,2004,1717060,0
OMN,AGO,2005,2108705,0
OMN,AGO,2006,11365354,0
OMN,AGO,2007,6002495,0
OMN,AGO,2008,19127176,14915
OMN,AGO,2009,13178292,0
OMN,AGO,2010,5732120,0
OMN,AGO,2011,7461662,0
OMN,AGO,2012,9584690,0
OMN,AGO,2013,36929922,0
OMN,AGO,2014,13446416,0
OMN,AGO,2015,17310761,39485
OMN,AGO,2016,5621404,198917
OMN,AGO,2017,12677251,191956
OMN,AGO,2018,8987961,72344
OMN,AGO,2019,8719034,64874
OMN,AGO,2020,8400061,49439
OMN,AGO,2021,3720394,20617
OMN,AGO,2022,3862585,17756
OMN,AGO,2023,5067538,364842
OMN,ATG,1999,15084,0
OMN,ATG,2021,18363,0
OMN,AZE,1995,1154010,0
OMN,AZE,1996,2743911,27100
OMN,AZE,1997,1862742,61776
OMN,AZE,1998,2212002,0
OMN,AZE,1999,436694,0
OMN,AZE,2000,719946,11279
OMN,AZE,2001,772680,0
OMN,AZE,2002,2059910,0
OMN,AZE,2003,3672740,65885
OMN,AZE,2004,8390454,0
OMN,AZE,2005,9305899,0
OMN,AZE,2006,11752842,370491
OMN,AZE,2007,36254689,13507
OMN,AZE,2008,46699357,0
OMN,AZE,2009,6136088,30128
OMN,AZE,2010,9536220,30251
OMN,AZE,2011,6523273,4226190
OMN,AZE,2012,160913,1709226
OMN,AZE,2013,2204236,4425963
OMN,AZE,2014,28679,20871
OMN,AZE,2015,15304,12400
OMN,AZE,2016,78583,127268
OMN,AZE,2017,161379,73061
OMN,AZE,2018,2048466,477838
OMN,AZE,2019,203965,113212
OMN,AZE,2020,308323,1627779
OMN,AZE,2021,287061,198497
OMN,AZE,2022,505562,1023996
OMN,AZE,2023,332569,8234954
OMN,ARG,1995,0,11958388
OMN,ARG,1996,15645,32052996
OMN,ARG,1997,22147,11931298
OMN,ARG,1998,88512,15137030
OMN,ARG,1999,17325,25956985
OMN,ARG,2000,0,21618489
OMN,ARG,2001,6280,31382741
OMN,ARG,2002,30599,35238111
OMN,ARG,2003,181468,34140494
OMN,ARG,2004,92550,26559486
OMN,ARG,2005,144738,44843152
OMN,ARG,2006,415426,48134142
OMN,ARG,2007,2175989,26070111
OMN,ARG,2008,11651,57534698
OMN,ARG,2009,124090,44105158
OMN,ARG,2010,8735949,39768052
OMN,ARG,2011,25408118,58585409
OMN,ARG,2012,529066,39129317
OMN,ARG,2013,1150841,34148813
OMN,ARG,2014,3029151,28922850
OMN,ARG,2015,27032892,30287673
OMN,ARG,2016,61181417,43173552
OMN,ARG,2017,32430234,78061488
OMN,ARG,2018,118016488,72072009
OMN,ARG,2019,40381650,96783408
OMN,ARG,2020,50465063,71619763
OMN,ARG,2021,144418433,89323371
OMN,ARG,2022,74042662,170448588
OMN,ARG,2023,15354673,109546927
OMN,AUS,1995,3706863,39027931
OMN,AUS,1996,308395,45885423
OMN,AUS,1997,51499403,70457001
OMN,AUS,1998,4729688,66915695
OMN,AUS,1999,15847172,65075649
OMN,AUS,2000,35181016,94590617
OMN,AUS,2001,806651,99899978
OMN,AUS,2002,1489092,91465103
OMN,AUS,2003,5435261,124722968
OMN,AUS,2004,1751010,164390922
OMN,AUS,2005,2106840,171903086
OMN,AUS,2006,3242638,192169410
OMN,AUS,2007,3019519,305194829
OMN,AUS,2008,13026226,498685088
OMN,AUS,2009,64122466,227504992
OMN,AUS,2010,29003061,342937967
OMN,AUS,2011,48425590,321890129
OMN,AUS,2012,18322116,363144833
OMN,AUS,2013,76509016,182658732
OMN,AUS,2014,35958449,251672578
OMN,AUS,2015,56798430,274096860
OMN,AUS,2016,26723362,277565737
OMN,AUS,2017,59983518,143408946
OMN,AUS,2018,39555556,111026713
OMN,AUS,2019,7048676,99462126
OMN,AUS,2020,23182966,170205801
OMN,AUS,2021,101960381,117157929
OMN,AUS,2022,168024161,418790985
OMN,AUS,2023,114083280,393969657
OMN,AUT,1995,43334,13145670
OMN,AUT,1996,30002,12835055
OMN,AUT,1997,816540,13663329
OMN,AUT,1998,59423,13973925
OMN,AUT,1999,62434,10797712
OMN,AUT,2000,158967,11125523
OMN,AUT,2001,64141,22384077
OMN,AUT,2002,120991,13969533
OMN,AUT,2003,1499523,21763573
OMN,AUT,2004,529415,47404285
OMN,AUT,2005,478149,45365081
OMN,AUT,2006,353243,53907141
OMN,AUT,2007,537632,86844396
OMN,AUT,2008,675826,73292923
OMN,AUT,2009,2257477,65194143
OMN,AUT,2010,923424,67124521
OMN,AUT,2011,6609406,76771440
OMN,AUT,2012,3238530,77255552
OMN,AUT,2013,6519449,72896606
OMN,AUT,2014,2955311,89206055
OMN,AUT,2015,1756177,110186716
OMN,AUT,2016,1132316,87506125
OMN,AUT,2017,1112982,60748399
OMN,AUT,2018,2010370,44787345
OMN,AUT,2019,1090291,38956177
OMN,AUT,2020,1342329,47377721
OMN,AUT,2021,1317672,31162244
OMN,AUT,2022,3960692,26831119
OMN,AUT,2023,4832938,39290297
OMN,BHS,2000,32770,0
OMN,BHS,2001,0,32401
OMN,BHS,2010,0,38004
OMN,BHS,2011,0,134536
OMN,BHS,2012,0,107164
OMN,BHS,2014,128117,0
OMN,BHS,2015,25608,223835
OMN,BHS,2016,0,64606
OMN,BHS,2017,8010,41743
OMN,BHS,2018,15630,0
OMN,BHS,2021,0,296334
OMN,BHS,2022,0,80615
OMN,BHS,2023,108530,0
OMN,BHR,1995,9303253,17188166
OMN,BHR,1996,8914051,27065504
OMN,BHR,1997,10748181,34303674
OMN,BHR,1998,13752163,16789983
OMN,BHR,1999,11175954,19231020
OMN,BHR,2000,12084576,21284020
OMN,BHR,2001,14619453,26286774
OMN,BHR,2002,22031583,31617785
OMN,BHR,2003,11809017,11924548
OMN,BHR,2004,20108186,30480393
OMN,BHR,2005,20543889,72059238
OMN,BHR,2006,19909884,43633358
OMN,BHR,2007,26410657,70801760
OMN,BHR,2008,48371421,117009376
OMN,BHR,2009,48038582,89137694
OMN,BHR,2010,36377154,177596503
OMN,BHR,2011,30176457,630849395
OMN,BHR,2012,63360297,308698333
OMN,BHR,2013,127696712,461472000
OMN,BHR,2014,134828078,602072142
OMN,BHR,2015,80301363,179681017
OMN,BHR,2016,65911184,250533694
OMN,BHR,2017,106018467,402969563
OMN,BHR,2018,122018588,566697369
OMN,BHR,2019,152727442,431562591
OMN,BHR,2020,119631261,473806631
OMN,BHR,2021,109540644,580311067
OMN,BHR,2022,176292171,680898612
OMN,BHR,2023,119051173,393575668
OMN,BGD,1995,113545,1135660
OMN,BGD,1996,269192,3057725
OMN,BGD,1997,2286654,2749809
OMN,BGD,1998,708715,2450746
OMN,BGD,1999,633259,843487
OMN,BGD,2000,676097,835534
OMN,BGD,2001,445309,893665
OMN,BGD,2002,801076,1105568
OMN,BGD,2003,596627,963912
OMN,BGD,2004,1106620,933716
OMN,BGD,2005,1151026,1263403
OMN,BGD,2006,2038308,815633
OMN,BGD,2007,12664333,5417531
OMN,BGD,2008,11167904,1114182
OMN,BGD,2009,11990363,952098
OMN,BGD,2010,27414574,1233138
OMN,BGD,2011,25104873,2244982
OMN,BGD,2012,23560891,5116187
OMN,BGD,2013,33494196,10462637
OMN,BGD,2014,103033297,4780094
OMN,BGD,2015,63257181,17180692
OMN,BGD,2016,49562464,14609809
OMN,BGD,2017,89112016,3391144
OMN,BGD,2018,88915009,1831861
OMN,BGD,2019,82522179,3141512
OMN,BGD,2020,84160676,2216606
OMN,BGD,2021,93022530,9207036
OMN,BGD,2022,112036300,15008482
OMN,BGD,2023,82321873,11192591
OMN,ARM,1995,318282,39262
OMN,ARM,1996,463581,0
OMN,ARM,1997,299380,751690
OMN,ARM,1998,273521,0
OMN,ARM,1999,119451,15107
OMN,ARM,2000,92614,445866
OMN,ARM,2001,106955,804865
OMN,ARM,2002,69616,1255705
OMN,ARM,2003,165156,0
OMN,ARM,2004,458975,0
OMN,ARM,2005,445953,0
OMN,ARM,2006,1066015,0
OMN,ARM,2007,1679075,0
OMN,ARM,2008,3376407,0
OMN,ARM,2009,484053,0
OMN,ARM,2010,735008,0
OMN,ARM,2011,275043,0
OMN,ARM,2012,243983,0
OMN,ARM,2013,371349,0
OMN,ARM,2014,559437,43583
OMN,ARM,2015,146888,37734
OMN,ARM,2016,165603,47286
OMN,ARM,2017,112396,48705
OMN,ARM,2018,84575,198368
OMN,ARM,2019,122883,4156562
OMN,ARM,2020,246424,0
OMN,ARM,2021,77872,58910
OMN,ARM,2022,113230,13396
OMN,ARM,2023,146576,41716
OMN,BRB,2004,10280,0
OMN,BRB,2005,187092,0
OMN,BRB,2006,46656,11500
OMN,BRB,2007,30218,0
OMN,BRB,2009,24028,0
OMN,BRB,2010,13872,0
OMN,BRB,2011,0,22104
OMN,BRB,2016,54378,12468
OMN,BRB,2017,17911,0
OMN,BRB,2018,61892,0
OMN,BRB,2019,27883,0
OMN,BRB,2021,20885,0
OMN,BRB,2022,73753,0
OMN,BRB,2023,14617,0
OMN,BEL,1995,1072457,40735585
OMN,BEL,1996,1647555,36967360
OMN,BEL,1997,1454587,48903423
OMN,BEL,1998,1946323,80511508
OMN,BEL,1999,1035544,43591389
OMN,BEL,2000,2360514,37372525
OMN,BEL,2001,3186500,64106938
OMN,BEL,2002,18309201,61428384
OMN,BEL,2003,7096255,67851879
OMN,BEL,2004,14336112,88572716
OMN,BEL,2005,17948802,73924749
OMN,BEL,2006,9716791,122579735
OMN,BEL,2007,8296744,126801997
OMN,BEL,2008,32340539,171891450
OMN,BEL,2009,26284002,194379228
OMN,BEL,2010,29645361,110773870
OMN,BEL,2011,37325753,139784422
OMN,BEL,2012,36126868,314695351
OMN,BEL,2013,10469215,213037999
OMN,BEL,2014,25480995,159292550
OMN,BEL,2015,4474227,139741229
OMN,BEL,2016,3188282,102176479
OMN,BEL,2017,4935308,119534807
OMN,BEL,2018,9629475,165095565
OMN,BEL,2019,5845331,125323408
OMN,BEL,2020,12776904,208062735
OMN,BEL,2021,23220075,219967378
OMN,BEL,2022,27058505,209096437
OMN,BEL,2023,16119954,161969399
OMN,BMU,2021,0,68651
OMN,BOL,1995,0,143461
OMN,BOL,1999,0,28040
OMN,BOL,2002,0,47387
OMN,BOL,2003,0,13649
OMN,BOL,2007,34595,0
OMN,BOL,2008,82201,0
OMN,BOL,2009,0,1452478
OMN,BOL,2010,154606,0
OMN,BOL,2011,144122,0
OMN,BOL,2013,390489,0
OMN,BOL,2014,35357,59712
OMN,BOL,2015,690004,73940
OMN,BOL,2016,175679,29026
OMN,BOL,2017,511404,22526
OMN,BOL,2018,553652,47942
OMN,BOL,2019,1336814,152836
OMN,BOL,2020,11669160,0
OMN,BOL,2021,1813177,0
OMN,BOL,2022,1306611,59353
OMN,BOL,2023,1191340,2968073
OMN,BIH,1995,16306,0
OMN,BIH,2005,34988,717641
OMN,BIH,2006,25740,30162
OMN,BIH,2007,6744,54974
OMN,BIH,2008,2743236,105333
OMN,BIH,2009,191549,31260
OMN,BIH,2010,164569,15588
OMN,BIH,2011,480514,81911
OMN,BIH,2012,0,202069
OMN,BIH,2013,102864,18995
OMN,BIH,2014,652722,0
OMN,BIH,2015,753746,493274
OMN,BIH,2016,37576,212567
OMN,BIH,2017,222912,337975
OMN,BIH,2018,276176,796998
OMN,BIH,2019,72899,1287584
OMN,BIH,2020,0,223816
OMN,BIH,2021,73583,431302
OMN,BIH,2022,449900,1031002
OMN,BIH,2023,2268920,486078
OMN,BWA,2001,0,94632
OMN,BWA,2003,32406,0
OMN,BWA,2004,31156,243141
OMN,BWA,2005,37215,0
OMN,BWA,2006,14445,0
OMN,BWA,2009,32308,0
OMN,BWA,2010,171627,0
OMN,BWA,2011,191524,17930
OMN,BWA,2012,289706,223730
OMN,BWA,2013,284708,0
OMN,BWA,2014,341996,0
OMN,BWA,2015,90860,0
OMN,BWA,2016,220376,0
OMN,BWA,2017,398413,253885
OMN,BWA,2018,71273,0
OMN,BWA,2019,281141,0
OMN,BWA,2020,22063,0
OMN,BWA,2021,151623,0
OMN,BWA,2022,125360,0
OMN,BWA,2023,106256,0
OMN,BRA,1995,0,17049386
OMN,BRA,1996,817786,13544798
OMN,BRA,1997,205269,14576960
OMN,BRA,1998,270052,11559271
OMN,BRA,1999,623465,11868835
OMN,BRA,2000,461028,16435640
OMN,BRA,2001,23745,28671338
OMN,BRA,2002,21607,30235950
OMN,BRA,2003,0,42235052
OMN,BRA,2004,11251,41736014
OMN,BRA,2005,378619,53994223
OMN,BRA,2006,835913,60020597
OMN,BRA,2007,4194302,93464018
OMN,BRA,2008,24599,132070972
OMN,BRA,2009,2731292,113796998
OMN,BRA,2010,13877057,151534087
OMN,BRA,2011,46728443,819183088
OMN,BRA,2012,4412751,1119698975
OMN,BRA,2013,71298936,1099239853
OMN,BRA,2014,206937374,862252343
OMN,BRA,2015,77795552,584859329
OMN,BRA,2016,79529221,485894319
OMN,BRA,2017,148762145,684351298
OMN,BRA,2018,134418260,666610045
OMN,BRA,2019,74826554,942994126
OMN,BRA,2020,131584376,732404555
OMN,BRA,2021,570439667,1541452624
OMN,BRA,2022,982387961,1028715449
OMN,BRA,2023,567725248,1195279680
OMN,BLZ,2001,0,21052
OMN,BLZ,2005,29909,0
OMN,BLZ,2010,16039,0
OMN,BLZ,2013,32892,127777
OMN,BLZ,2014,65609,0
OMN,BLZ,2015,65960,0
OMN,BLZ,2016,12808,0
OMN,BLZ,2020,51182,0
OMN,BLZ,2021,0,24271737
OMN,BLZ,2022,52999,0
OMN,SLB,2001,30039,0
OMN,SLB,2012,50941,0
OMN,SLB,2013,34327,0
OMN,SLB,2014,96304,0
OMN,SLB,2015,16200,0
OMN,SLB,2016,18912,0
OMN,SLB,2017,0,31370
OMN,BRN,1995,96280,0
OMN,BRN,1996,1027994,0
OMN,BRN,1997,15472030,6469
OMN,BRN,1998,77951,68535
OMN,BRN,1999,125716,0
OMN,BRN,2000,163901,0
OMN,BRN,2001,98301,1732825
OMN,BRN,2002,137605,27603
OMN,BRN,2003,44752,20752
OMN,BRN,2004,161859,23102
OMN,BRN,2005,497404,20360
OMN,BRN,2006,79373,3908
OMN,BRN,2007,95905,44008
OMN,BRN,2008,520738,54752
OMN,BRN,2009,234346,128560
OMN,BRN,2010,362233,7540
OMN,BRN,2011,6558018,15119
OMN,BRN,2012,139073,58056
OMN,BRN,2013,204339,107588
OMN,BRN,2014,181421,188201
OMN,BRN,2015,185731,48958
OMN,BRN,2016,125628,66017
OMN,BRN,2017,343238,29728
OMN,BRN,2018,6802549,37360
OMN,BRN,2019,304413,15716
OMN,BRN,2020,92648,15468
OMN,BRN,2021,107520,120652
OMN,BRN,2022,57896,48925
OMN,BRN,2023,34267,732207
OMN,BGR,1995,0,3867933
OMN,BGR,1996,469484,1224677
OMN,BGR,1997,13003,96984
OMN,BGR,1998,74920,1026796
OMN,BGR,1999,4654896,281001
OMN,BGR,2000,4008614,60319
OMN,BGR,2001,63130,1404809
OMN,BGR,2002,82398,395989
OMN,BGR,2003,0,191202
OMN,BGR,2004,18721,486220
OMN,BGR,2005,59776,691253
OMN,BGR,2006,26306,1285493
OMN,BGR,2007,112515,2964888
OMN,BGR,2008,101271,9552774
OMN,BGR,2009,2587284,558864
OMN,BGR,2010,8353065,20337623
OMN,BGR,2011,2875650,28309531
OMN,BGR,2012,8622727,14544408
OMN,BGR,2013,10900120,26832398
OMN,BGR,2014,7646747,25039341
OMN,BGR,2015,298072,38592649
OMN,BGR,2016,2362279,7364025
OMN,BGR,2017,1677410,9581259
OMN,BGR,2018,945280,13402197
OMN,BGR,2019,1290082,13026931
OMN,BGR,2020,1630652,25616161
OMN,BGR,2021,1247887,10984247
OMN,BGR,2022,15199321,14504254
OMN,BGR,2023,22011037,10061870
OMN,MMR,1995,0,256966
OMN,MMR,1996,0,302602
OMN,MMR,1997,0,1192292
OMN,MMR,1998,0,121477
OMN,MMR,1999,76461,0
OMN,MMR,2000,114694,0
OMN,MMR,2001,0,64803
OMN,MMR,2002,205304,296531
OMN,MMR,2003,92328,0
OMN,MMR,2004,92328,571533
OMN,MMR,2005,56394,584242
OMN,MMR,2006,282689,1234072
OMN,MMR,2007,188213,769189
OMN,MMR,2008,4587080,1951727
OMN,MMR,2009,8502372,1998567
OMN,MMR,2010,1777532,1237827
OMN,MMR,2011,3035329,2565945
OMN,MMR,2012,11084287,1173594
OMN,MMR,2013,14691058,437914
OMN,MMR,2014,10156382,268372
OMN,MMR,2015,14775017,3585266
OMN,MMR,2016,10863528,3931073
OMN,MMR,2017,11964277,3107527
OMN,MMR,2018,31117043,3666057
OMN,MMR,2019,13974102,4894818
OMN,MMR,2020,41642845,5560102
OMN,MMR,2021,36428709,5230274
OMN,MMR,2022,41048764,5248500
OMN,MMR,2023,60922416,4620823
OMN,BDI,1995,165236,129343
OMN,BDI,1996,83411,144119
OMN,BDI,1997,204280,353154
OMN,BDI,1998,79109,186624
OMN,BDI,1999,66208,175875
OMN,BDI,2000,177772,423573
OMN,BDI,2001,593506,650253
OMN,BDI,2002,525042,125620
OMN,BDI,2003,777481,52504
OMN,BDI,2004,1696979,172927
OMN,BDI,2005,900011,251134
OMN,BDI,2006,270047,408382
OMN,BDI,2007,154783,492746
OMN,BDI,2008,153906,637842
OMN,BDI,2009,89602,702585
OMN,BDI,2010,62889,819938
OMN,BDI,2011,179926,1390012
OMN,BDI,2012,435433,177105
OMN,BDI,2013,733682,749800
OMN,BDI,2014,535556,513063
OMN,BDI,2015,59267,2297827
OMN,BDI,2016,7520,1971455
OMN,BDI,2017,33588,3163284
OMN,BDI,2018,536957,968400
OMN,BDI,2019,289181,3023680
OMN,BDI,2020,317954,5808786
OMN,BDI,2021,314357,6028116
OMN,BDI,2022,4536161,4433848
OMN,BDI,2023,140744,0
OMN,BLR,1999,9708,0
OMN,BLR,2001,90385,0
OMN,BLR,2005,112697,0
OMN,BLR,2007,84578,0
OMN,BLR,2008,491644,11318700
OMN,BLR,2009,1517737,1444867
OMN,BLR,2010,2291587,3160328
OMN,BLR,2011,2575364,4863618
OMN,BLR,2012,2044603,9466839
OMN,BLR,2013,2473183,4816514
OMN,BLR,2014,807552,3786727
OMN,BLR,2015,394471,109986
OMN,BLR,2016,185039,423061
OMN,BLR,2017,367118,1379298
OMN,BLR,2018,332535,1805899
OMN,BLR,2019,825902,1225143
OMN,BLR,2020,166146,455614
OMN,BLR,2021,254653,397336
OMN,KHM,1995,285117,0
OMN,KHM,1996,540955,0
OMN,KHM,1997,39011,0
OMN,KHM,1999,33809,0
OMN,KHM,2000,121977,0
OMN,KHM,2002,107797,0
OMN,KHM,2003,172486,0
OMN,KHM,2004,407259,0
OMN,KHM,2005,222602,0
OMN,KHM,2006,271000,0
OMN,KHM,2007,98441,0
OMN,KHM,2008,182356,0
OMN,KHM,2009,709691,0
OMN,KHM,2010,32723,0
OMN,KHM,2011,526621,0
OMN,KHM,2012,66720,36583
OMN,KHM,2013,103977,59712
OMN,KHM,2014,2404355,55625
OMN,KHM,2015,1390387,598465
OMN,KHM,2016,22225,673845
OMN,KHM,2017,0,500746
OMN,KHM,2018,760199,322555
OMN,KHM,2019,714473,24278
OMN,KHM,2020,8650816,0
OMN,KHM,2021,5462627,178808
OMN,KHM,2022,3290884,30475
OMN,KHM,2023,3399256,63747
OMN,CMR,1995,78543,0
OMN,CMR,1996,75864,0
OMN,CMR,1997,33719,0
OMN,CMR,1998,75161,63388
OMN,CMR,1999,93885,14075
OMN,CMR,2000,24934,0
OMN,CMR,2001,386606,20883
OMN,CMR,2002,16451,105958
OMN,CMR,2003,244716,245677
OMN,CMR,2004,250857,286547
OMN,CMR,2005,715527,65640
OMN,CMR,2006,266760,39961
OMN,CMR,2007,353830,33247
OMN,CMR,2008,842050,84226
OMN,CMR,2009,454446,395991
OMN,CMR,2010,362964,158901
OMN,CMR,2011,1988904,43998
OMN,CMR,2012,713957,35975
OMN,CMR,2013,1041007,47733
OMN,CMR,2014,5914865,146893
OMN,CMR,2015,2852149,144676
OMN,CMR,2016,777833,1080553
OMN,CMR,2017,1800542,116295
OMN,CMR,2018,2747717,49226
OMN,CMR,2019,9685581,98665
OMN,CMR,2020,20150922,258695
OMN,CMR,2021,41939318,78787
OMN,CMR,2022,40642705,284612
OMN,CMR,2023,17901392,69207
OMN,CAN,1995,620344,17829645
OMN,CAN,1996,442949,8150952
OMN,CAN,1997,614278,10904102
OMN,CAN,1998,518529,10283764
OMN,CAN,1999,1027746,7986631
OMN,CAN,2000,3095761,7881451
OMN,CAN,2001,1747327,12579627
OMN,CAN,2002,2001218,15965148
OMN,CAN,2003,4070682,33603764
OMN,CAN,2004,5605374,46430315
OMN,CAN,2005,3903884,18746745
OMN,CAN,2006,4371041,48734634
OMN,CAN,2007,3086957,106395430
OMN,CAN,2008,3381837,111890115
OMN,CAN,2009,5566904,132888650
OMN,CAN,2010,15975467,103177260
OMN,CAN,2011,15312439,113725093
OMN,CAN,2012,30752155,184294179
OMN,CAN,2013,8082294,124074832
OMN,CAN,2014,40460278,115373709
OMN,CAN,2015,32023624,121670001
OMN,CAN,2016,18755961,110261255
OMN,CAN,2017,23956090,66541760
OMN,CAN,2018,27984881,114832483
OMN,CAN,2019,26578899,78640478
OMN,CAN,2020,35938259,69482408
OMN,CAN,2021,56451736,54113970
OMN,CAN,2022,86704462,64456116
OMN,CAN,2023,65910837,88283369
OMN,CPV,2001,13864,0
OMN,CPV,2008,33394,0
OMN,CPV,2011,85910,0
OMN,CPV,2015,0,303041
OMN,CPV,2016,0,403648
OMN,CPV,2021,8859369,0
OMN,CPV,2022,62732,0
OMN,CPV,2023,272133,0
OMN,CYM,1995,0,60202
OMN,CYM,2002,0,44409
OMN,CYM,2007,0,47528
OMN,CAF,1998,1617553,0
OMN,CAF,1999,1665058,23501
OMN,CAF,2000,74577,0
OMN,CAF,2006,187371,0
OMN,CAF,2009,379714,0
OMN,CAF,2011,65280,0
OMN,CAF,2018,14094,0
OMN,CAF,2020,7665762,0
OMN,CAF,2021,57031,0
OMN,CAF,2022,11931092,10480
OMN,CAF,2023,71919,0
OMN,LKA,1995,1967480,3565313
OMN,LKA,1996,1359014,4069134
OMN,LKA,1997,3536793,4341935
OMN,LKA,1998,3225975,3493225
OMN,LKA,1999,1395153,3391222
OMN,LKA,2000,2174292,3232088
OMN,LKA,2001,4170026,4691164
OMN,LKA,2002,2767380,4958571
OMN,LKA,2003,2516525,3525763
OMN,LKA,2004,3389431,2902084
OMN,LKA,2005,4519785,6384328
OMN,LKA,2006,8171371,4260557
OMN,LKA,2007,47808327,4134435
OMN,LKA,2008,12594146,7700359
OMN,LKA,2009,19931833,6581993
OMN,LKA,2010,104558892,9009306
OMN,LKA,2011,133394104,9749349
OMN,LKA,2012,223697941,9408811
OMN,LKA,2013,561754056,10589202
OMN,LKA,2014,270727227,11323065
OMN,LKA,2015,174183242,7675309
OMN,LKA,2016,41077603,6674484
OMN,LKA,2017,61811961,12066016
OMN,LKA,2018,34425007,15118888
OMN,LKA,2019,137617010,18026668
OMN,LKA,2020,121329524,18981912
OMN,LKA,2021,94613247,17748821
OMN,LKA,2022,163406830,16576941
OMN,LKA,2023,213889948,15765773
OMN,TCD,1998,43693,13878
OMN,TCD,2000,464535,0
OMN,TCD,2001,332471,0
OMN,TCD,2002,2969561,45036
OMN,TCD,2003,529014,0
OMN,TCD,2004,628836,0
OMN,TCD,2005,88554,0
OMN,TCD,2006,1770091,0
OMN,TCD,2007,509014,0
OMN,TCD,2008,899205,0
OMN,TCD,2009,1237910,0
OMN,TCD,2010,365410,0
OMN,TCD,2011,487009,0
OMN,TCD,2012,22208,0
OMN,TCD,2013,69282,0
OMN,TCD,2015,187507,0
OMN,TCD,2016,37774,0
OMN,TCD,2017,50040,0
OMN,TCD,2018,369282,0
OMN,TCD,2019,170260,0
OMN,TCD,2020,1979113,0
OMN,TCD,2021,902285,30467
OMN,TCD,2022,206584,0
OMN,TCD,2023,231740,0
OMN,CHL,1995,66039,4084382
OMN,CHL,1996,78883,19336746
OMN,CHL,1997,38305,17752253
OMN,CHL,1998,115880,6999728
OMN,CHL,1999,147158,8345225
OMN,CHL,2000,155935,2434464
OMN,CHL,2001,252595,2436621
OMN,CHL,2002,339387,3636174
OMN,CHL,2003,330196,8818141
OMN,CHL,2004,258894,10046337
OMN,CHL,2005,66749,15244728
OMN,CHL,2006,121115,40750056
OMN,CHL,2007,878385,22250103
OMN,CHL,2008,87154,12838431
OMN,CHL,2009,197244,6389820
OMN,CHL,2010,437170,31751548
OMN,CHL,2011,13798260,11189096
OMN,CHL,2012,450399,29513658
OMN,CHL,2013,503477,63747330
OMN,CHL,2014,206261,14743631
OMN,CHL,2015,1741363,110288444
OMN,CHL,2016,3637084,61197390
OMN,CHL,2017,830871,33356148
